name,recclass,mass,fall,year,reclat,reclong,GeoLocation,,nametype,id
Aachen,L5,21,Fell,1880,50.775,6.08333,"(50.775000, 6.083330)",,Valid,1
Aarhus,H6,720,Fell,1951,56.18333,10.23333,"(56.183330, 10.233330)",,Valid,2
Abee,EH4,107000,Fell,1952,54.21667,-113,"(54.216670, -113.000000)",,Valid,6
Acapulco,Acapulcoite,1914,Fell,1976,16.88333,-99.9,"(16.883330, -99.900000)",,Valid,10
Achiras,L6,780,Fell,1902,-33.16667,-64.95,"(-33.166670, -64.950000)",,Valid,370
Adhi Kot,EH4,4239,Fell,1919,32.1,71.8,"(32.100000, 71.800000)",,Valid,379
Adzhi-Bogdo (stone),LL3-6,910,Fell,1949,44.83333,95.16667,"(44.833330, 95.166670)",,Valid,390
Agen,H5,30000,Fell,1814,44.21667,0.61667,"(44.216670, 0.616670)",,Valid,392
Aguada,L6,1620,Fell,1930,-31.6,-65.23333,"(-31.600000, -65.233330)",,Valid,398
Aguila Blanca,L,1440,Fell,1920,-30.86667,-64.55,"(-30.866670, -64.550000)",,Valid,417
Aioun el Atrouss,Diogenite-pm,1000,Fell,1974,16.39806,-9.57028,"(16.398060, -9.570280)",,Valid,423
Aïr,L6,24000,Fell,1925,19.08333,8.38333,"(19.083330, 8.383330)",,Valid,424
Aire-sur-la-Lys,Unknown,,Fell,1769,50.66667,2.33333,"(50.666670, 2.333330)",,Valid,425
Akaba,L6,779,Fell,1949,29.51667,35.05,"(29.516670, 35.050000)",,Valid,426
Akbarpur,H4,1800,Fell,1838,29.71667,77.95,"(29.716670, 77.950000)",,Valid,427
Akwanga,H,3000,Fell,1959,8.91667,8.43333,"(8.916670, 8.433330)",,Valid,432
Akyumak,"Iron, IVA",50000,Fell,1981,39.91667,42.81667,"(39.916670, 42.816670)",,Valid,433
Al Rais,CR2-an,160,Fell,1957,24.41667,39.51667,"(24.416670, 39.516670)",,Valid,446
Al Zarnkh,LL5,700,Fell,2001,13.66033,28.96,"(13.660330, 28.960000)",,Valid,447
Alais,CI1,6000,Fell,1806,44.11667,4.08333,"(44.116670, 4.083330)",,Valid,448
Albareto,L/LL4,2000,Fell,1766,44.65,11.01667,"(44.650000, 11.016670)",,Valid,453
Alberta,L,625,Fell,1949,2,22.66667,"(2.000000, 22.666670)",,Valid,454
Alby sur Chéran,Eucrite-mmict,252,Fell,2002,45.82133,6.01533,"(45.821330, 6.015330)",,Valid,458
Aldsworth,LL5,700,Fell,1835,51.78333,-1.78333,"(51.783330, -1.783330)",,Valid,461
Aleppo,L6,3200,Fell,1873,36.23333,37.13333,"(36.233330, 37.133330)",,Valid,462
Alessandria,H5,908,Fell,1860,44.88333,8.75,"(44.883330, 8.750000)",,Valid,463
Alexandrovsky,H4,9251,Fell,1900,50.95,31.81667,"(50.950000, 31.816670)",,Valid,465
Alfianello,L6,228000,Fell,1883,45.26667,10.15,"(45.266670, 10.150000)",,Valid,466
Allegan,H5,32000,Fell,1899,42.53333,-85.88333,"(42.533330, -85.883330)",,Valid,2276
Allende,CV3,2000000,Fell,1969,26.96667,-105.31667,"(26.966670, -105.316670)",,Valid,2278
Almahata Sitta,Ureilite-an,3950,Fell,2008,20.74575,32.41275,"(20.745750, 32.412750)",,Valid,48915
Alta'ameem,LL5,6000,Fell,1977,35.27333,44.21556,"(35.273330, 44.215560)",,Valid,2284
Ambapur Nagla,H5,6400,Fell,1895,27.66667,78.25,"(27.666670, 78.250000)",,Valid,2290
Andhara,Stone-uncl,2700,Fell,1880,26.58333,85.56667,"(26.583330, 85.566670)",,Valid,2294
Andover,L6,3200,Fell,1898,44.61667,-70.75,"(44.616670, -70.750000)",,Valid,2295
Andreevka,L3,600,Fell,1969,48.7,37.5,"(48.700000, 37.500000)",,Valid,2296
Andura,H6,17900,Fell,1939,20.88333,76.86667,"(20.883330, 76.866670)",,Valid,2298
Northwest Africa 5815,L5,256.8,Found,,0,0,"(0.000000, 0.000000)",,Valid,50693
Angers,L6,,Fell,1822,47.46667,-0.55,"(47.466670, -0.550000)",,Valid,2301
Angra dos Reis (stone),Angrite,1500,Fell,1869,-22.96667,-44.31667,"(-22.966670, -44.316670)",,Valid,2302
Ankober,H4,6500,Fell,1942,9.53333,39.71667,"(9.533330, 39.716670)",,Valid,2304
Anlong,H5,2500,Fell,1971,25.15,105.18333,"(25.150000, 105.183330)",,Valid,2305
Aomori,L6,320,Fell,1984,40.81056,140.78556,"(40.810560, 140.785560)",,Valid,2313
Appley Bridge,LL6,15000,Fell,1914,53.58333,-2.71667,"(53.583330, -2.716670)",,Valid,2318
Apt,L6,3200,Fell,1803,43.86667,5.38333,"(43.866670, 5.383330)",,Valid,2320
Arbol Solo,H5,810,Fell,1954,-33,-66,"(-33.000000, -66.000000)",,Valid,2325
Archie,H6,5070,Fell,1932,38.5,-94.3,"(38.500000, -94.300000)",,Valid,2329
Arroyo Aguiar,H5,7450,Fell,1950,-31.41667,-60.66667,"(-31.416670, -60.666670)",,Valid,2340
Asco,H6,41,Fell,1805,42.45,9.03333,"(42.450000, 9.033330)",,Valid,2345
Ash Creek,L6,9500,Fell,2009,31.805,-97.01,"(31.805000, -97.010000)",,Valid,48954
Ashdon,L6,1300,Fell,1923,52.05,0.3,"(52.050000, 0.300000)",,Valid,2346
Assisi,H5,2000,Fell,1886,43.03333,12.55,"(43.033330, 12.550000)",,Valid,2353
Atarra,L4,1280,Fell,1920,25.25417,80.625,"(25.254170, 80.625000)",,Valid,4883
Atemajac,L6,94.2,Fell,1896,20.06667,-103.66667,"(20.066670, -103.666670)",,Valid,4884
Athens,LL6,265,Fell,1933,34.75,-87,"(34.750000, -87.000000)",,Valid,4885
Atoka,L6,1384.2,Fell,1945,34.31667,-96.15,"(34.316670, -96.150000)",,Valid,4888
Aubres,Aubrite,800,Fell,1836,44.38333,5.16667,"(44.383330, 5.166670)",,Valid,4893
Aumale,L6,50000,Fell,1865,36.16667,3.66667,"(36.166670, 3.666670)",,Valid,4899
Aumieres,L6,2000,Fell,1842,44.33333,3.23333,"(44.333330, 3.233330)",,Valid,4900
Ausson,L5,50000,Fell,1858,43.08333,0.58333,"(43.083330, 0.583330)",,Valid,4903
Avanhandava,H4,9330,Fell,1952,-21.46028,-49.95083,"(-21.460280, -49.950830)",,Valid,4905
Avce,"Iron, IIAB",1230,Fell,1908,46,13.5,"(46.000000, 13.500000)",,Valid,4906
Avilez,H,146,Fell,1855,25,-103.5,"(25.000000, -103.500000)",,Valid,4907
Awere,L4,134,Fell,1968,2.71667,32.83333,"(2.716670, 32.833330)",,Valid,4910
Aztec,L6,2830,Fell,1938,36.8,-108,"(36.800000, -108.000000)",,Valid,4913
Bachmut,L6,18000,Fell,1814,48.6,38,"(48.600000, 38.000000)",,Valid,4917
Bahjoi,"Iron, IAB-sLL",10322,Fell,1934,28.48333,78.5,"(28.483330, 78.500000)",,Valid,4922
Bald Mountain,L4,3700,Fell,1929,35.96667,-82.48333,"(35.966670, -82.483330)",,Valid,4925
Baldwyn,L6,345,Fell,1922,34.5,-88.66667,"(34.500000, -88.666670)",,Valid,4926
Bali,CV3,1000,Fell,1907,5.38333,16.38333,"(5.383330, 16.383330)",,Valid,4928
Ban Rong Du,"Iron, ungrouped",16700,Fell,1993,16.66667,101.18333,"(16.666670, 101.183330)",,Valid,4934
Bandong,LL6,11500,Fell,1871,-6.91667,107.6,"(-6.916670, 107.600000)",,Valid,4935
Bansur,L6,15000,Fell,1892,27.7,76.33333,"(27.700000, 76.333330)",,Valid,4936
Banswal,L5,14,Fell,1913,30.4,78.2,"(30.400000, 78.200000)",,Valid,4937
Banten,CM2,629,Fell,1933,-6.33333,106,"(-6.333330, 106.000000)",,Valid,4938
Barbotan,H5,6400,Fell,1790,43.95,-0.05,"(43.950000, -0.050000)",,Valid,4942
Barcelona (stone),OC,,Fell,1704,41.36667,2.16667,"(41.366670, 2.166670)",,Valid,4944
Barea,Mesosiderite-A1,3200,Fell,1842,42.38333,-2.5,"(42.383330, -2.500000)",,Valid,4946
Barnaul,H5,23.2,Fell,1904,52.73333,84.08333,"(52.733330, 84.083330)",,Valid,4947
Barntrup,LL4,17,Fell,1886,52,9.1,"(52.000000, 9.100000)",,Valid,4948
Baroti,L6,4500,Fell,1910,31.61667,76.8,"(31.616670, 76.800000)",,Valid,4949
Barwell,L5,44000,Fell,1965,52.56528,-1.33972,"(52.565280, -1.339720)",,Valid,4954
Bassikounou,H5,29560,Fell,2006,15.78333,-5.9,"(15.783330, -5.900000)",,Valid,44876
Baszkówka,L5,15500,Fell,1994,52.03333,20.93583,"(52.033330, 20.935830)",,Valid,4957
Bath,H4,21000,Fell,1892,45.41667,-98.31667,"(45.416670, -98.316670)",,Valid,4974
Bath Furnace,L6,86000,Fell,1902,38.25,-83.75,"(38.250000, -83.750000)",,Valid,4975
Battle Mountain,L6,2900,Fell,2012,40.66813,-117.18913,"(40.668130, -117.189130)",,Valid,56133
Bawku,LL5,1557,Fell,1989,11.08333,-0.18333,"(11.083330, -0.183330)",,Valid,4976
Baxter,L6,611,Fell,1916,36.75,-93.5,"(36.750000, -93.500000)",,Valid,4977
Beardsley,H5,16000,Fell,1929,39.8,-101.2,"(39.800000, -101.200000)",,Valid,4984
Beaver Creek,H5,14000,Fell,1893,51.16667,-117.33333,"(51.166670, -117.333330)",,Valid,4986
Beddgelert,H5,794,Fell,1949,53.01667,-4.1,"(53.016670, -4.100000)",,Valid,4993
Bells,C2-ung,375,Fell,1961,33.6,-96.46667,"(33.600000, -96.466670)",,Valid,5005
Belville,OC,,Fell,1937,-32.33333,-64.86667,"(-32.333330, -64.866670)",,Valid,5009
Benares (a),LL4,3700,Fell,1798,25.36667,82.91667,"(25.366670, 82.916670)",,Valid,5011
Benguerir,LL6,25000,Fell,2004,32.25,-8.15,"(32.250000, -8.150000)",,Valid,30443
Beni M'hira,L6,19000,Fell,2001,32.86667,10.8,"(32.866670, 10.800000)",,Valid,5018
Benld,H6,1770.5,Fell,1938,39.08333,-89.15,"(39.083330, -89.150000)",,Valid,5021
Benoni,H6,3880,Fell,1943,-26.16667,28.41667,"(-26.166670, 28.416670)",,Valid,5023
Bensour,LL6,45000,Fell,2002,30,-7,"(30.000000, -7.000000)",,Valid,5024
Benton,LL6,2840,Fell,1949,45.95,-67.55,"(45.950000, -67.550000)",,Valid,5026
Berduc,L6,270,Fell,2008,-31.91,-58.32833,"(-31.910000, -58.328330)",,Valid,48975
Béréba,Eucrite-mmict,18000,Fell,1924,11.65,-3.65,"(11.650000, -3.650000)",#ERROR!,Valid,5028
Berlanguillas,L6,1440,Fell,1811,41.68333,-3.8,"(41.683330, -3.800000)",,Valid,5029
Berthoud,Eucrite-mmict,960,Fell,2004,40.30583,-105.02325,"(40.305830, -105.023250)",,Valid,47355
Bethlehem,H,13.9,Fell,1859,42.53333,-73.83333,"(42.533330, -73.833330)",,Valid,5032
Beuste,L5,2000,Fell,1859,43.21667,-0.23333,"(43.216670, -0.233330)",,Valid,5034
Beyrout,LL3.8,1100,Fell,1921,33.88333,35.5,"(33.883330, 35.500000)",,Valid,5035
Bhagur,L6,18,Fell,1877,20.88333,74.83333,"(20.883330, 74.833330)",,Valid,5037
Bhawad,LL6,678,Fell,2002,26.50833,73.11528,"(26.508330, 73.115280)",,Valid,36591
Bherai,L6,100,Fell,1893,20.83333,71.46667,"(20.833330, 71.466670)",,Valid,5039
Bhola,LL3-6,1047,Fell,1940,22.68333,90.65,"(22.683330, 90.650000)",,Valid,5040
Bholghati,Howardite,2500,Fell,1905,22.08333,86.9,"(22.083330, 86.900000)",,Valid,5041
Bialystok,Eucrite-pmict,4000,Fell,1827,53.1,23.2,"(53.100000, 23.200000)",,Valid,5042
Bielokrynitschie,H4,1900,Fell,1887,50.13333,27.16667,"(50.133330, 27.166670)",,Valid,5043
Bilanga,Diogenite,25000,Fell,1999,12.45,-0.08333,"(12.450000, -0.083330)",,Valid,5045
Binningup,H5,488.1,Fell,1984,-33.15639,115.67639,"(-33.156390, 115.676390)",,Valid,5051
Birni N'konni,H4,560,Fell,1923,13.76667,5.3,"(13.766670, 5.300000)",,Valid,5056
Bishopville,Aubrite,6000,Fell,1843,34.16667,-80.28333,"(34.166670, -80.283330)",,Valid,5059
Bishunpur,LL3.15,1039,Fell,1895,25.38333,82.6,"(25.383330, 82.600000)",,Valid,5060
Bjelaja Zerkov,H6,1850,Fell,1796,49.78333,30.16667,"(49.783330, 30.166670)",,Valid,5063
Bjurböle,L/LL4,330000,Fell,1899,60.4,25.8,"(60.400000, 25.800000)",,Valid,5064
Black Moshannan Park,L5,705,Fell,1941,40.91667,-78.08333,"(40.916670, -78.083330)",,Valid,5065
Blackwell,L5,2381,Fell,1906,36.83333,-97.33333,"(36.833330, -97.333330)",,Valid,5068
Blanket,L6,5100,Fell,1909,31.83333,-98.83333,"(31.833330, -98.833330)",,Valid,5071
Blansko,H6,470,Fell,1833,49.36667,16.63333,"(49.366670, 16.633330)",,Valid,5072
Bloomington,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.480000, -89.004170)",,Valid,5076
Bo Xian,LL3.9,7500,Fell,1977,33.83333,115.83333,"(33.833330, 115.833330)",,Valid,5090
Bocas,L6,56,Fell,1804,23,-102,"(23.000000, -102.000000)",,Valid,5093
Bogou,"Iron, IAB-MG",8800,Fell,1962,12.5,0.7,"(12.500000, 0.700000)",,Valid,5097
Boguslavka,"Iron, IIAB",256000,Fell,1916,44.55,131.63333,"(44.550000, 131.633330)",,Valid,5098
Borgo San Donino,LL6,1676,Fell,1808,44.86667,10.05,"(44.866670, 10.050000)",,Valid,5110
Bori,L6,8600,Fell,1894,21.95,78.03333,"(21.950000, 78.033330)",,Valid,5111
Boriskino,CM2,1342,Fell,1930,54.23333,52.48333,"(54.233330, 52.483330)",,Valid,5112
Borkut,L5,7000,Fell,1852,48.15,24.28333,"(48.150000, 24.283330)",,Valid,5113
Borodino,H5,500,Fell,1812,55.46667,35.86667,"(55.466670, 35.866670)",,Valid,5114
Botschetschki,L4,614,Fell,1823,51.33333,33.88333,"(51.333330, 33.883330)",,Valid,5117
Boumdeid (2003),L6,190,Fell,2003,17.71067,-11.3715,"(17.710670, -11.371500)",,Valid,57168
Boumdeid (2011),L6,3599,Fell,2011,17.17493,-11.34133,"(17.174930, -11.341330)",,Valid,57167
Bovedy,L3,5460,Fell,1969,54.56667,-6.33333,"(54.566670, -6.333330)",,Valid,5121
Bradford Woods,L,762,Fell,1886,40.5,-80.08333,"(40.500000, -80.083330)",,Valid,5128
Braunau,"Iron, IIAB",39000,Fell,1847,50.6,16.3,"(50.600000, 16.300000)",,Valid,5133
Breitscheid,H5,1500,Fell,1956,50.66694,8.18361,"(50.666940, 8.183610)",,Valid,5134
Bremervörde,H/L3.9,7250,Fell,1855,53.4,9.1,"(53.400000, 9.100000)",,Valid,5135
Brient,Eucrite-pmict,219,Fell,1933,52.13333,59.31667,"(52.133330, 59.316670)",,Valid,5140
Bruderheim,L6,303000,Fell,1960,53.9,-112.88333,"(53.900000, -112.883330)",,Valid,5156
Bukhara,CV3,5300,Fell,2001,39.77978,64.60035,"(39.779780, 64.600350)",,Valid,30448
Bulls Run,Iron?,2250,Fell,1964,,,,,Valid,5163
Bunburra Rockhole,Eucrite,324,Fell,2007,-31.35,129.19,"(-31.350000, 129.190000)",,Valid,48653
Bununu,Howardite,357,Fell,1942,10.01667,9.58333,"(10.016670, 9.583330)",,Valid,5165
Bur-Gheluai,H5,120000,Fell,1919,5,48,"(5.000000, 48.000000)",,Valid,5169
Burnwell,H4-an,1504,Fell,1990,37.62194,-82.23722,"(37.621940, -82.237220)",,Valid,5175
Bursa,L6,25000,Fell,1946,40.2,29.23333,"(40.200000, 29.233330)",,Valid,5177
Buschhof,L6,5000,Fell,1863,46.45,25.78333,"(46.450000, 25.783330)",,Valid,5178
Bustee,Aubrite,1500,Fell,1852,26.78333,82.83333,"(26.783330, 82.833330)",,Valid,5181
Butsura,H6,29000,Fell,1861,27.08333,84.08333,"(27.083330, 84.083330)",,Valid,5183
Buzzard Coulee,H4,41000,Fell,2008,52.996,-109.84817,"(52.996000, -109.848170)",,Valid,48654
Cabezo de Mayo,L/LL6,25000,Fell,1870,37.98333,-1.16667,"(37.983330, -1.166670)",,Valid,5185
Cabin Creek,"Iron, IIIAB",48500,Fell,1886,35.5,-93.5,"(35.500000, -93.500000)",,Valid,5186
Cacak,OC,212,Fell,1919,43.83889,20.33333,"(43.838890, 20.333330)",,Valid,5187
Cali,H/L4,478,Fell,2007,3.405,-76.51,"(3.405000, -76.510000)",,Valid,45976
Calivo,Stone-uncl,2400,Fell,1916,11.75,122.33333,"(11.750000, 122.333330)",,Valid,5200
Campos Sales,L5,23680,Fell,1991,-7.03333,-40.16667,"(-7.033330, -40.166670)",,Valid,5249
Çanakkale,L6,4000,Fell,1964,39.8,26.6,"(39.800000, 26.600000)",,Valid,5250
Cañellas,H4,945,Fell,1861,41.25,1.66667,"(41.250000, 1.666670)",,Valid,5251
Cangas de Onis,H5,34000,Fell,1866,43.38333,-5.15,"(43.383330, -5.150000)",,Valid,5252
Canon City,H6,1400,Fell,1973,38.47028,-105.24139,"(38.470280, -105.241390)",,Valid,5253
Cape Girardeau,H6,2300,Fell,1846,37.26667,-89.58333,"(37.266670, -89.583330)",,Valid,5260
Capilla del Monte,H6,750,Fell,1934,-30.88333,-64.55,"(-30.883330, -64.550000)",,Valid,5264
Carancas,H4-5,342,Fell,2007,-16.66444,-69.04389,"(-16.664440, -69.043890)",,Valid,45817
Caratash,LL6,8,Fell,1902,38.5,27,"(38.500000, 27.000000)",,Valid,5265
Castalia,H5,7300,Fell,1874,36.08333,-78.06667,"(36.083330, -78.066670)",,Valid,5291
Castel Berardenga,Stone-uncl,,Fell,1791,43.35,11.5,"(43.350000, 11.500000)",,Valid,5292
Castine,L6,94,Fell,1848,44.38333,-68.75,"(44.383330, -68.750000)",,Valid,5293
Castrovillari,Stone-uncl,15000,Fell,1583,39.8,16.2,"(39.800000, 16.200000)",,Valid,5295
Caswell County,OC,1360,Fell,1810,36.5,-79.25,"(36.500000, -79.250000)",,Valid,5296
Ceniceros,L3.7,1025,Fell,1988,26.46667,-105.23333,"(26.466670, -105.233330)",,Valid,5306
Centerville,H5,45.6,Fell,1956,43.2,-96.91667,"(43.200000, -96.916670)",,Valid,5307
Cereseto,H5,6460,Fell,1840,45.08333,8.3,"(45.083330, 8.300000)",,Valid,5308
Chadong,L6,3700,Fell,1998,28.53333,109.31667,"(28.533330, 109.316670)",,Valid,5313
